,template,clusterID
0,CC_CARB_rpra_3,5
1,CC_CARB_rpra_13,2
2,CC_CARB_rpra_50,3
3,CC_CARB_rpra_63,2
4,CC_CARB_rpra_130,2
5,CC_CARB_rpra_137,2
6,CC_CARB_rpra_140,3
7,CC_CARB_rpra_185,0
8,CC_CARB_rpra_189,5
9,CC_CARB_rpra_205,0
10,CC_CARB_rpra_223,1
11,CC_CARB_rpra_224,1
12,CC_CARB_rpra_230,4
13,CC_CARB_rpra_241,2
14,CC_CARB_rpra_242,1
15,CC_CARB_rpra_245,2
16,CC_CARB_rpra_248,0
17,CC_CARB_rpra_249,3
18,CC_CARB_rpra_250,0
19,CC_CARB_rpra_251,3
20,CC_CARB_rpra_252,2
21,CC_CARB_rpra_253,4
22,CC_CARB_rpra_259,2
23,CC_CARB_rpra_281,1
24,CC_CARB_rpra_283,3
25,CC_CARB_rpra_287,2
26,CC_CARB_rpra_303,5
27,CC_CARB_rpra_315,0
28,CC_CARB_rpra_336,0
29,CC_CARB_rpra_347,2
30,CC_CARB_rpra_355,2
31,CC_CARB_rpra_357,1
32,CC_CARB_rpra_359,2
33,CC_CARB_rpra_363,3
34,CC_CARB_rpra_364,3
35,CC_CARB_rpra_368,4
36,CC_CARB_rpra_381,1
37,CC_CARB_rpra_382,3
38,CC_CARB_rpra_410,3
39,CC_CARB_rpra_412,2
40,CC_CARB_rpra_413,4
41,CC_CARB_rpra_417,0
42,CC_CARB_rpra_452,2
43,CC_CARB_rpra_453,2
44,CC_CARB_rpra_481,2
45,CC_CARB_rpra_495,2
46,CC_CARB_rpra_497,5
47,CC_CARB_rpra_515,4
48,CC_CARB_rpra_516,2
49,CC_CARB_rpra_517,2
50,CC_CARB_rpra_539,4
51,CC_CARB_rpra_540,0
52,CC_CARB_rpra_548,2
53,CC_CARB_rpra_549,2
54,CC_CARB_rpra_550,1
55,CC_CARB_rpra_551,4
56,CC_CARB_rpra_561,0
57,CC_CARB_rpra_567,1
58,CC_CARB_rpra_570,1
59,CC_CARB_rpra_576,0
60,CC_CARB_rpra_587,5
61,CC_CARB_rpra_591,3
62,CC_CARB_rpra_606,2
63,CC_CARB_rpra_622,3
64,CC_CARB_rpra_627,0
65,CC_CARB_rpra_629,2
66,CC_CARB_rpra_637,0
67,CC_CARB_rpra_667,2
68,CC_CARB_rpra_677,2
69,CC_CARB_rpra_679,0
70,CC_CARB_rpra_680,0
71,CC_CARB_rpra_681,0
72,CC_CARB_rpra_682,2
73,CC_CARB_rpra_687,5
74,CC_CARB_rpra_695,5
75,CC_CARB_rpra_702,2
76,CC_CARB_rpra_706,0
77,CC_CARB_rpra_713,2
78,CC_CARB_rpra_714,3
79,CC_CARB_rpra_718,2
80,CC_CARB_rpra_719,0
81,CC_CARB_rpra_725,4
82,CC_CARB_rpra_745,1
83,CC_CARB_rpra_750,0
84,CC_CARB_rpra_756,4
85,CC_CARB_rpra_758,0
86,CC_CARB_rpra_759,3
87,CC_CARB_rpra_762,0
88,CC_CARB_rpra_763,0
89,CC_CARB_rpra_764,5
90,CC_CARB_rpra_766,2
91,CC_CARB_rpra_771,5
92,CC_CARB_rpra_772,0
93,CC_CARB_rpra_782,5
94,CC_CARB_rpra_784,1
95,CC_CARB_rpra_795,5
96,CC_CARB_rpra_803,0
97,CC_CARB_rpra_805,0
98,CC_CARB_rpra_814,2
99,CC_CARB_rpra_831,5
100,CC_CARB_rpra_841,2
101,CC_CARB_rpra_843,3
102,CC_CARB_rpra_847,2
103,CC_CARB_rpra_849,5
104,CC_CARB_rpra_851,2
105,CC_CARB_rpra_855,0
106,CC_CARB_rpra_857,1
107,CC_CARB_rpra_858,5
108,CC_CARB_rpra_861,1
109,CC_CARB_rpra_862,0
110,CC_CARB_rpra_865,2
111,CC_CARB_rpra_866,1
112,CC_CARB_rpra_868,2
113,CC_CARB_rpra_869,4
114,CC_CARB_rpra_874,2
115,CC_CARB_rpra_882,0
116,CC_CARB_rpra_886,3
117,CC_CARB_rpra_891,2
118,CC_CARB_rpra_892,2
119,CC_CARB_rpra_893,1
120,CC_CARB_rpra_896,5
121,CC_CARB_rpra_897,2
122,CC_CARB_rpra_898,1
123,CC_CARB_rpra_899,3
124,CC_CARB_rpra_900,3
125,CC_CARB_rpra_901,3
126,CC_CARB_rpra_902,1
127,CC_CARB_rpra_903,3
128,CC_CARB_rpra_904,2
129,CC_CARB_rpra_906,2
130,CC_CARB_rpra_907,4
131,CC_CARB_rpra_908,3
132,CC_CARB_rpra_910,3
133,CC_CARB_rpra_923,2
134,CC_CARB_rpra_925,5
135,CC_CRBN_rpra_13,5
136,CC_CRBN_rpra_50,3
137,CC_CRBN_rpra_63,2
138,CC_CRBN_rpra_98,0
139,CC_CRBN_rpra_130,0
140,CC_CRBN_rpra_137,2
141,CC_CRBN_rpra_205,2
142,CC_CRBN_rpra_259,2
143,CC_CRBN_rpra_336,2
144,CC_CRBN_rpra_337,0
145,CC_CRBN_rpra_410,3
146,CC_CRBN_rpra_540,5
147,CC_CRBN_rpra_548,2
148,CC_CRBN_rpra_571,0
149,CC_CRBN_rpra_682,2
150,CC_CRBN_rpra_687,5
151,CC_CRBN_rpra_695,5
152,CC_CRBN_rpra_750,3
153,CC_CRBN_rpra_756,4
154,CC_CRBN_rpra_758,2
155,CC_CRBN_rpra_759,3
156,CC_CRBN_rpra_762,5
157,CC_CRBN_rpra_763,2
158,CC_CRBN_rpra_764,5
159,CC_CRBN_rpra_766,2
160,CC_CRBN_rpra_771,2
161,CC_CRBN_rpra_772,5
162,CC_CRBN_rpra_784,1
163,CC_CRBN_rpra_795,5
164,CC_CRBN_rpra_803,5
165,CC_CRBN_rpra_805,0
166,CC_CRBN_rpra_814,2
167,CC_CRBN_rpra_831,2
168,CC_CRBN_rpra_841,5
169,CC_CRBN_rpra_843,5
170,CC_CRBN_rpra_847,3
171,CC_CRBN_rpra_849,3
172,CC_CRBN_rpra_851,5
173,CC_CRBN_rpra_855,0
174,CC_CRBN_rpra_857,0
175,CC_CRBN_rpra_858,5
176,CC_CRBN_rpra_861,0
177,CC_CRBN_rpra_862,5
178,CC_CRBN_rpra_865,5
179,CC_CRBN_rpra_866,4
180,CC_CRBN_rpra_868,3
181,CC_CRBN_rpra_869,2
182,CC_CRBN_rpra_870,2
183,CC_CRBN_rpra_874,1
184,CC_CRBN_rpra_878,2
185,CC_CRBN_rpra_882,5
186,CC_CRBN_rpra_886,0
187,CC_CRBN_rpra_891,2
188,CC_CRBN_rpra_892,5
189,CC_CRBN_rpra_893,1
190,CC_CRBN_rpra_896,2
191,CC_CRBN_rpra_897,5
192,CC_CRBN_rpra_898,4
193,CC_CRBN_rpra_899,3
194,CC_CRBN_rpra_900,1
195,CC_CRBN_rpra_901,3
196,CC_CRBN_rpra_902,4
197,CC_CRBN_rpra_903,1
198,CC_CRBN_rpra_904,2
199,CC_CRBN_rpra_906,0
200,CC_CRBN_rpra_907,4
201,CC_CRBN_rpra_908,2
202,CC_CRBN_rpra_910,5
203,CC_CRBN_rpra_923,5
204,CC_CRBN_rpra_925,5
205,CC_CRBN_rpra_926,1
206,CC_CRBN_rpra_929,2
207,CC_CRBN_rpra_930,3
208,CC_CRBN_rpra_931,1
209,CC_CRBN_rpra_933,5
210,CC_GTWY_rpra_13,5
211,CC_GTWY_rpra_63,5
212,CC_GTWY_rpra_336,2
213,CC_GTWY_rpra_337,2
214,CC_GTWY_rpra_540,5
215,CC_GTWY_rpra_548,5
216,CC_GTWY_rpra_571,0
217,CC_GTWY_rpra_695,5
218,CC_GTWY_rpra_696,5
219,CC_GTWY_rpra_730,5
220,CC_GTWY_rpra_743,0
221,CC_GTWY_rpra_745,0
222,CC_GTWY_rpra_758,2
223,CC_GTWY_rpra_762,5
224,CC_GTWY_rpra_763,5
225,CC_GTWY_rpra_764,5
226,CC_GTWY_rpra_766,2
227,CC_GTWY_rpra_771,5
228,CC_GTWY_rpra_772,0
229,CC_GTWY_rpra_774,5
230,CC_GTWY_rpra_795,5
231,CC_GTWY_rpra_805,2
232,CC_GTWY_rpra_831,5
233,CC_GTWY_rpra_841,0
234,CC_GTWY_rpra_842,0
235,CC_GTWY_rpra_843,2
236,CC_GTWY_rpra_847,2
237,CC_GTWY_rpra_851,5
238,CC_GTWY_rpra_855,2
239,CC_GTWY_rpra_858,2
240,CC_GTWY_rpra_860,5
241,CC_GTWY_rpra_865,5
242,CC_GTWY_rpra_866,3
243,CC_GTWY_rpra_868,2
244,CC_GTWY_rpra_874,2
245,CC_GTWY_rpra_881,5
246,CC_GTWY_rpra_882,5
247,CC_GTWY_rpra_886,0
248,CC_GTWY_rpra_892,5
